Agronomie,Agronomie,47.1994400024414,27.5425451914469
Alexandru cel bun,Zimbru,47.167099,27.558167
Alexandru cel bun,Alexandru,47.1636135313246,27.563848177592
Alexandru cel bun,Alexandru cel bun,47.1636135313246,27.563848177592
Aviatiei,Aviatiei,47.159321975708,27.6250793457031
Bucium,Bucium,47.1218252636137,27.6226208096459
Bularga / Baza 3,Bularga,47.14256153461907,27.60293464776594
Bularga / Baza 3,Baza 3,47.146630,27.606307
Canta,Canta,47.1726820809501,27.5542553492955
Canta,Moara de foc,47.173688,27.551757
Cantemir,Cantemir,47.1526720864432,27.5761608396258
Centru,Independentei,47.167036,27.584711
Centru,Hala centrala,47.160995,27.590724
Centru,Fundatie,47.168605,27.577672
Centru,Lazar,47.156193,27.591339
Centru,UMF,47.166880,27.586434
Centru,U.M.F,47.166880,27.586434
Centru,Centru,47.163179737653,27.5863102166228
Centru,Moldova,47.159676,27.587414
Centru,Palas,47.157030,27.590267
Copou,Copou,47.1790298348042,27.5688876536355
CUG,Visoianu,47.106648,27.560292
CUG,C.U.G.,47.1270267602169,27.5701250018496
CUG,CUG,47.1270267602169,27.5701250018496
Dacia,Dacia,47.1674774169922,27.55081615448
Frumoasa / Manta Rosie,Frumoasa,47.135684,27.584234
Frumoasa / Manta Rosie,Manta Rosie,47.136490,27.599276
Galata,Conest Vision,47.151141,27.573091
Galata,Galata,47.1490440368652,27.5662541389465
Gara,Gara,47.1676239013671,27.5694448471069
Gara,Garii,47.1676239013671,27.5694448471069
Gara,Billa,47.168882,27.568688
Gara,Bila,47.168882,27.568688
Mircea cel Batran,Mircea cel Batran,47.1549627516005,27.5683066050212
Moara de Vant,Moara de Vant,47.1725792162346,27.5958802194306
Moara de Vant,podu de fier,47.167116,27.594947
Moara de Vant,podul de fier,47.167116,27.594947
Nicolina,Nicolina,47.1421803401066,27.5791492755596
Pacurari,Pacurari,47.1747496231742,27.5511127140211
Pacurari,PĂCURARI,47.1747496231742,27.5511127140211
Podu Ros,Podu Ros,47.1513368037709,27.5872519643683
Podu Ros,Podul Ros,47.1513368037709,27.5872519643683
Tatarasi Nord,Tatarasi Nord,47.1630679539272,27.605444090707
Tatarasi Nord,Tatarasi,47.160270,27.616609
Tatarasi Nord,Tătarasi,47.160270,27.616609
Tatarasi Nord,Tătărasi,47.160270,27.616609
Tatarasi Sud,Tatarasi Sud,47.1549699202828,27.6157150683196
Tatarasi Sud,Gradinari,47.154567,27.619305
Tesatura,Tesatura,47.1489348778358,27.5954895019531
Tudor Vladimirescu,Tudor Vladimirescu,47.1566547817654,27.6006058233756
Tudor Vladimirescu,Tudor,47.1566547817654,27.6006058233756
Tudor Vladimirescu,Vladimirescu,47.1566547817654,27.6006058233756
Tudor Vladimirescu,Bucsinescu,47.158066,27.601714
Uzinei,Uzinei,47.1598154703776,27.5770969390869
Uzinei,Podul de piatra,47.158041,27.576285
Uzinei,Podu de piatra,47.158041,27.576285
Valea Adanca,Valea Adanca,47.1259002685547,27.5575008392334
Valea Adanca,Valea Adâncă,47.1259002685547,27.5575008392334
Valea Lupului,Valea Lupului,47.1786438447266,27.5102807746277
Zona Industriala,Zona Industriala,47.1498600641886,27.6155188878377
Zona Industriala,Metalurgiei,47.148244,27.620655